id;inscricao;nome;nome_fantasia;num_documento;situacao;optante_simples_nacional;codigo_natureza_juridica;descricao_natureza_juridica;tipo_logradouro;titulo_logradouro;logradouro;numero;complemento;nome_cidade;nome_bairro;numero_cep
1;Human;Designer;Loan input Aço;Corporate reboot;BAIXADA;true;monitor maximize Prático;Persevering bypassing Congelado;Function-based;Sharable Direct Impressionante;CFP capacitor;e-business copy;superstructure Rua Lustroso;payment;Travessa;Mouse marca Response
2;actuating redundant;Regional Granito;SMTP approach Direct;Carro Distributed Markets;ATIVA;false;Turismo solutions;Zelândia Jardim;Specialist Esportes Jogos;Santo open-source Alagoas;Alameda Human interface;maximized web-enabled;Future Romênia;programming Supervisor;user-centric drive;Alameda Technician
3;backing technologies port;Salada Creative alarm;process;workforce Bedfordshire;ATIVA;false;maximized;Chapéu Aço;ROI Sapatos Money;Profit-focused Algodão;Alameda Home;hacking;dourado hacking;Wallis Alameda transmitting;Business-focused sensor deposit;Account de
4;Tocantins alarm Mato;capacitor Response Down-sized;Jóias;protocol;ATIVA;true;program Frango;generate Granito encompassing;Minas transmitter Iraqi;Distributed bus workforce;web-enabled Future withdrawal;compressing Secured Cross-group;Accountability;Ergonômico Ergonômico Internal;Inteligente archive SQL;Berkshire
5;Cambridgeshire program;cobre PNG virtual;vertical Computadores;AI International;SUSPENSA;true;architectures Developer Principal;Chief Lustroso;Toalhas Bebê;moratorium;copying;primary back-end;SMS Acre mesh;Guilder;architectures;Peixe 5th Lead
6;Account projection;withdrawal Interactions;Borders;matrix Persistent global;SUSPENSA;true;Implemented;bluetooth;Filmes;coherent microchip PNG;Anguila Alagoas focus;world-class back-end;backing Congelado;Human Implementation;Avon;override
7;deposit;Principal solid;uniform deploy copy;Product envisioneer open-source;SUSPENSA;false;Pound Ferramentas primary;calculating;circuit Architect Madeira;Business-focused;RAM Congelado;Associate Web Loan;Loan Lindo;Automotivo;Bacon fuligem;Avon Account Gerais
8;TCP Macio;Guernesey Future;Rodovia;deposit Salgadinhos;SUSPENSA;false;interactive Alameda;Macedônia whiteboard;efficient Peso;workforce;Multi-tiered Dinar leading-edge;Federal;coral;roxo Saudi;Gostoso;Pequeno
9;Cambridgeshire technologies;Investor;Human withdrawal circuit;Travessa frictionless Regional;ATIVA;false;Maranhão Metrics;Plástico facilitate;Madeira Business-focused;real-time;microchip Travessa;Borracha open-source;brand esmeralda;schemas Account;holistic Bicicleta Amapá;Account generate
10;sensor Manager IB;Madeira;Fresco;bus payment;ATIVA;true;Bebê Mato Macio;invoice;Officer Direct;Investor;Rua Multi-tiered Travessa;bronze;Data;deposit Alameda;Forward;madeira 24/7
