id;id_atividade_cpbs;cnae;descricao_cnae;principal;id_segmento_iss;descricao_segmento;id_lista_ser_cpbs;codigo_lista_ser_cpbs;descricao_lista_ser_cpbs
1;card transparent Paradigm;override Markets;celeste Intranet;false;Cadeira Guiana;index Cambridgeshire deposit;Plástico incentivize;Colon;generating
2;JSON Mouse;Avenida Licenciado plug-and-play;support SDD;false;navigate holistic Investor;Officer Granito;neural-net esmeralda Rodovia;Avenida programming relationships;Bebê
3;zero Bedfordshire invoice;wireless;deposit Queijo;false;SDD mobile;Camiseta invoice;proactive;grená Pizza;withdrawal Goiás Tunísia
4;interface;Esportes calculating;bus;false;Officer azul;Aço;Senior Peso;Bicicleta;generate redundant
5;payment infrastructure Granada;Security;HTTP Bahia;true;digital;Acre Roupas;web-readiness Fresco;Mônaco Synergized architect;matrices
6;overriding;índigo USB Concreto;Buckinghamshire;false;object-oriented;full-range Central;Alagoas;Liaison Granito groupware;viral function next-generation
7;wireless Bacon alliance;Salada;reciprocal District Ilhas;true;Human Macio;Carro;Mouse Suazilândia;Gibraltar Advanced Prático;multi-byte
8;Ruanda national;Mônaco Eslováquia;benchmark Ergonômico;true;quantify Plástico Madeira;Marginal Sabonete;Rua;Rial;compress rich HTTP
9;Malvinas Dominican;Loan Licenciado;Computador Internal infomediaries;false;Carro;Corporate Helena;copying Taiwan Federal;back;Forward Metal robust
10;Esportes;Madagascar;Feito Ergonômico portals;false;Concreto Direct circuit;cross-platform Ceará;Prático Refinado Chapéu;Música motivating Zimbabwe;Jogos
